#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	Ruprecht 10      	07 06 29	-20 06 32	  	   4.0	 2900	 0.380	 9.040	  -0.55	   4.49	   53	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Berkeley 76      	07 06 40	-11 44 00	  	   5.0	12600	 0.550	 9.180	   0.15	   2.60	   70	K14	       	   	      	  	4-1-m-* 	WEBDA	Lynga
P	NGC 2335         	07 06 49	-10 01 42	  	   6.0	 1417	 0.393	 8.210	  -0.91	  -3.18	    1	K14	  -3.59	  1	-0.180	 1	        	WEBDA	Lynga
 	Collinder 465    	07 06 52	-10 32 18	nf	   9.0	 5410	 0.416	 8.800	  -0.02	   1.15	  117	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 466    	07 06 56	-10 42 54	  	   4.0	 2123	 0.460	 8.800	  -0.10	   0.82	   60	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
 	NGC 2331         	07 06 59	+27 15 42	  	  14.0	 1285	 0.060	 9.230	  -0.48	  -1.05	   96	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	FSR 1209         	07 07 04	-13 50 51	IR	   0.6	 2964	 0.437	 9.120	  -0.89	  -2.49	   95	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 12      	07 07 10	-28 12 00	  	   5.0	  900	 0.050	 7.560	  -2.00	   2.72	   54	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Ruprecht 11      	07 07 21	-20 48 00	  	   5.0	 1870	 0.170	 9.180	  -0.71	   2.00	   64	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	FSR 1202         	07 07 26	-12 47 54	IR	   4.5	 2436	 0.208	 9.225	   0.27	  -0.21	   63	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1170         	07 07 27	-08 52 03	IR	   1.6	 2276	 0.666	 8.755	   0.83	  -1.82	   30	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2338         	07 07 47	-05 43 12	  	   7.0	 1800	 0.480	 8.740	  -0.43	   0.27	  139	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 13      	07 07 51	-25 52 11	  	   4.5	 1300	 0.260	 9.000	  -2.15	  -0.96	   54	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	NGC 2343         	07 08 06	-10 37 00	  	   5.0	 1056	 0.118	 7.104	  -2.09	  -1.41	    1	K14	  14.89	  1	-0.300	  	        	WEBDA	Lynga
P	NGC 2345         	07 08 18	-13 11 36	  	  12.0	 2251	 0.616	 7.853	  -0.56	  -0.04	  342	K14	  59.19	  4	      	  	        	WEBDA	Lynga
 	FSR 1204         	07 08 20	-12 53 28	IR	   1.2	 1706	 0.312	 9.320	  -2.58	   2.95	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1113         	07 09 09	-01 30 43	IR	   0.8	 5805	 0.562	 8.300	   1.12	  -4.78	   15	K14	       	   	      	  	        	WEBDA	Lynga
 	Haffner 23       	07 09 24	-16 57 00	d 	  11.0	 1000	 0.100	 8.840	   2.07	  -1.11	  242	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	Berkeley 35      	07 09 56	+02 44 01	  	   6.0	 4390	 0.470	 8.950	  -3.29	   3.34	  115	K14	       	   	-0.130	  	2-1-m-* 	WEBDA	Lynga
 	OCl 374          	07 10 12	+75 12 12	p 	   4.5	 1900	 1.270	 7.850	  -5.51	 -11.15	    6	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 34          	07 10 30	+06 04 12	  	  36.0	  550	 0.040	 8.550	  -2.36	  -1.87	    9	K14	       	   	      	  	        	WEBDA	Lynga
 	Dias 3           	07 10 31	-08 25 39	  	  16.0	 4650	 0.640	 9.150	   1.67	  -2.33	  384	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi 21        	07 10 47	-09 20 12	  	  42.0	  500	 0.070	 7.470	  -4.00	   2.80	   11	K14	  38.80	  1	      	  	        	WEBDA	Lynga
 	NGC 2349         	07 10 48	-08 35 36	  	  18.0	 1628	 0.610	 8.880	   0.71	  -2.23	  545	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 35          	07 12 40	+02 07 12	  	  48.0	  800	 0.060	 8.490	  -2.68	  -0.94	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2352         	07 13 05	-24 02 18	  	   6.0	 1750	 0.320	 8.080	  -2.13	   4.30	  125	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1183         	07 13 22	-09 52 18	IR	   6.0	 1634	 0.416	 8.585	  -2.90	  -3.22	  102	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2351         	07 13 31	-10 29 12	  	  10.0	 1882	 0.920	 8.380	  -4.02	  -1.54	  190	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2354         	07 14 10	-25 41 24	  	  18.0	 1750	 0.180	 9.180	  -2.92	   1.67	  626	K14	  33.45	  8	-0.300	12	        	WEBDA	Lynga
 	FSR 1153         	07 14 22	-05 40 14	IR	   1.3	 3095	 0.146	 8.065	  -2.69	  -0.90	   20	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2353         	07 14 30	-10 16 00	  	  18.0	 1170	 0.100	 8.100	  -3.92	  -1.18	  491	K14	  18.78	  7	      	  	        	WEBDA	Lynga
 	ASCC 36          	07 14 31	-21 07 12	  	  21.6	  750	 0.000	 8.510	  -1.89	   0.25	  670	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 14      	07 14 55	-31 22 00	nf	   3.0	 4023	 0.396	 9.060	  -1.09	   1.37	   30	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	Collinder 132    	07 15 20	-30 41 00	  	  80.0	  472	 0.037	 7.080	  -2.01	   2.90	  110	K14	  26.58	  3	      	  	        	WEBDA	Lynga
 	Berkeley 36      	07 16 24	-13 11 35	  	   5.0	 6140	 0.400	 9.500	  -1.15	   2.32	   50	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	Alessi 3         	07 16 29	-46 41 06	  	  72.0	  288	 0.110	 8.700	 -11.49	  12.37	   22	K14	  20.00	  1	-0.275	 1	4-3-p-* 	WEBDA	Lynga
 	NGC 2358         	07 16 56	-17 07 00	n 	  20.0	  630	 0.020	 8.720	  -0.88	   1.34	  618	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2355         	07 16 59	+13 45 00	  	   7.0	 1949	 0.220	 8.900	  -2.50	  -3.00	   38	K14	  35.02	  7	-0.080	 5	        	WEBDA	Lynga
 	ESO 367 10       	07 17 05	-35 16 48	  	   3.0	 3027	 0.916	 8.315	  -5.78	  26.59	    2	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
P	Basel 11a        	07 17 06	-13 58 00	  	   5.0	 1520	 0.000	 8.300	  -0.94	   0.33	   94	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 135    	07 17 17	-36 49 00	  	  50.0	  316	 0.032	 7.407	 -10.70	   5.30	   18	K14	  15.85	  4	-0.219	 5	        	WEBDA	Lynga
P	NGC 2360         	07 17 43	-15 38 30	  	  13.0	 1120	 0.010	 8.800	  -3.51	   8.07	    2	K14	  27.28	 18	-0.030	 3	        	WEBDA	Lynga
 	ASCC 37          	07 18 04	-24 28 48	  	  19.2	 1600	 0.000	 8.730	  -1.71	   3.61	  719	K14	  13.50	  1	      	  	        	WEBDA	Lynga
 	ESO 559 02       	07 18 05	-18 35 42	  	   1.0	     	      	      	  -3.56	   5.53	    9	K14	       	   	      	  	1-2-P-* 	WEBDA	Lynga
 	Teutsch 49       	07 18 28	-17 36 47	  	   8.4	 3840	 1.600	 8.900	   0.54	   1.48	  108	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 86       	07 18 31	-18 22 15	IR	  11.0	     	      	      	   0.58	   0.48	  182	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2362         	07 18 41	-24 57 18	  	   5.0	 1480	 0.100	 6.700	  -2.29	   3.03	    2	K14	  36.43	  4	      	  	        	WEBDA	Lynga
 	Bica 4           	07 19 07	-22 01 40	  	   2.5	 3930	 0.940	 7.800	  -6.81	   2.88	   16	K14	  19.00	  2	      	  	        	WEBDA	Lynga
 	Ruprecht 15      	07 19 33	-19 38 00	  	   2.0	 3416	 0.370	 8.700	  -0.21	   6.12	   98	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
P	NGC 2367         	07 20 06	-21 52 54	  	   5.0	 1400	 0.050	 6.700	  -2.56	  -0.13	   49	K14	  33.10	  3	      	  	        	WEBDA	Lynga
P	Haffner 6        	07 20 06	-13 08 00	  	   6.0	 3054	 0.450	 8.826	  -0.55	   3.58	   95	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 37      	07 20 24	-01 06 00	  	   4.0	 5250	 0.050	 8.800	  -2.44	   5.44	   43	K14	       	   	-0.050	  	3-2-p-* 	WEBDA	Lynga
 	NGC 2364         	07 20 46	-07 33 00	  	  13.0	 1919	 0.310	 8.300	   0.88	  -2.57	  312	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1255         	07 20 53	-19 38 51	IR	   2.6	 1023	 0.000	 8.495	  -2.59	   4.81	   66	K14	       	   	      	  	        	WEBDA	Lynga
 	Saurer 1         	07 20 56	+01 48 29	  	   2.6	13200	 0.140	 9.700	   3.46	  -6.73	   12	K14	  98.00	  4	-0.380	 2	        	WEBDA	Lynga
 	Juchert 12       	07 20 57	-22 52 00	  	   2.0	 2128	 0.870	 7.850	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 77      	07 21 27	-03 14 01	  	   6.2	 4630	 0.120	 8.800	  -1.80	   0.56	  122	K14	       	   	      	  	1-2-m-* 	WEBDA	Lynga
 	King 23          	07 21 47	-00 59 06	  	   7.2	 3113	 0.160	 8.950	  -2.15	   2.25	  147	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Wit 3            	07 22 02	-08 58 46	  	      	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Haffner 7        	07 22 55	-29 30 00	  	   3.0	 4500	 0.130	 9.180	  -1.69	   2.18	   65	K14	       	   	      	  	2-3-m-* 	WEBDA	Lynga
 	Ruprecht 16      	07 23 13	-19 27 05	  	   3.5	 2160	 0.710	 8.200	  -1.25	   0.07	   72	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	Haffner 8        	07 23 24	-12 20 00	  	   5.0	 2380	 0.032	 8.500	  -3.60	  -0.73	   70	K14	       	   	 0.060	 2	        	WEBDA	Lynga
 	Ruprecht 17      	07 23 36	-23 11 00	  	   3.0	 1263	 0.291	 8.325	  -2.93	   5.08	   29	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Berkeley 78      	07 23 38	+05 22 15	  	   6.0	 4800	 0.010	 9.450	   0.77	  -4.54	   77	K14	  59.10	  1	      	  	2-1-p-* 	WEBDA	Lynga
P	NGC 2374         	07 23 56	-13 15 48	  	  12.0	 1468	 0.090	 8.463	  -1.78	  -0.76	  331	K14	  29.25	  1	      	  	        	WEBDA	Lynga
 	Majaess 88       	07 24 07	-25 53 56	IR	   6.0	     	      	      	  -7.28	  15.90	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	Ivanov 6         	07 24 14	-24 38 00	  	   4.5	  442	 1.080	 7.200	   0.79	   0.20	   21	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 140    	07 24 27	-31 51 00	  	  60.0	  405	 0.030	 7.548	  -7.33	   2.70	   10	K14	  19.34	  4	-0.100	  	        	WEBDA	Lynga
 	Majaess 89       	07 24 38	-24 34 59	IR	   5.0	     	      	      	   2.58	 -16.90	    1	K14	       	   	      	  	        	WEBDA	Lynga
P	Ruprecht 18      	07 24 39	-26 13 00	  	   7.0	 1056	 0.700	 7.648	  -1.45	   2.43	  137	K14	       	   	-0.010	 1	        	WEBDA	Lynga
P	NGC 2383         	07 24 40	-20 56 54	  	   5.0	 3400	 0.330	 8.450	  -2.32	  -0.33	  181	K14	  57.37	  1	      	  	        	WEBDA	Lynga
 	Haffner 9        	07 24 42	-17 00 10	  	   4.0	 1900	 0.540	 8.150	   1.36	   2.09	   66	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	Majaess 90       	07 24 45	-24 29 34	IR	   5.0	     	      	      	  -6.54	  22.43	    3	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2384         	07 25 10	-21 01 18	  	   5.0	 3070	 0.310	 7.150	  -1.29	   1.37	  106	K14	  53.25	  5	      	  	        	WEBDA	Lynga
 	Ruprecht 19      	07 25 51	-21 35 00	d 	   5.0	 1797	 0.208	 8.000	  -1.84	  -0.68	  120	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	FSR 1270         	07 26 05	-21 11 03	IR	   7.9	 1607	 0.312	 8.700	  -0.47	   0.93	  246	K14	       	   	      	  	        	WEBDA	Lynga
P	Waterloo 7       	07 26 08	-15 05 36	  	   2.6	 2800	 0.420	      	  -1.79	   2.63	  119	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1253         	07 26 17	-18 25 55	IR	   6.0	 2640	 0.620	 8.400	  -0.02	   0.65	  149	K14	       	   	      	  	        	WEBDA	Lynga
P	Melotte 66       	07 26 23	-47 40 00	  	  14.0	 4700	 0.150	 9.530	  -3.09	   3.26	  284	K14	  22.10	 36	-0.330	 6	        	WEBDA	Lynga
 	Trumpler 6       	07 26 25	-24 12 00	  	   6.0	 2083	 0.620	 8.650	  -3.68	   3.76	   77	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
P	Ruprecht 20      	07 26 43	-28 49 00	  	   5.0	 1208	 0.100	 8.500	  -0.67	   1.00	  112	K14	       	   	-0.290	 4	        	WEBDA	Lynga
 	Ruprecht 21      	07 26 56	-31 11 00	nf	  11.0	 3894	 0.770	 8.650	  -2.28	   4.03	  299	K14	       	   	      	  	3-1-m-* 	WEBDA	Lynga
 	DC 3             	07 27 00	-37 31 16	  	   0.7	 4317	 0.541	 9.260	  -1.61	   4.99	   17	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 38          	07 27 11	-05 33 00	  	  31.2	  500	 0.070	 8.600	  -3.46	  -0.32	 1450	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2395         	07 27 12	+13 36 30	  	  14.0	  512	 0.120	 9.070	  -3.36	  -6.02	    9	K14	       	   	      	  	        	WEBDA	Lynga
P	Trumpler 7       	07 27 22	-23 57 00	  	   5.0	 1474	 0.266	 7.430	  -2.99	   2.64	   93	K14	  32.87	  3	      	  	        	WEBDA	Lynga
 	NGC 2396         	07 28 00	-11 43 00	  	  10.0	  588	 0.050	      	  -3.19	   0.29	  232	K14	  17.70	  1	      	  	4-1-p-* 	WEBDA	Lynga
 	FSR 1275         	07 28 06	-21 47 46	IR	   4.0	 3750	 0.600	 9.400	  -1.79	   0.06	   56	K14	       	   	      	  	        	WEBDA	Lynga
P	Czernik 29       	07 28 18	-15 24 00	  	   5.0	 3000	 0.470	 8.450	  -3.04	   2.18	   88	K14	       	   	      	  	        	WEBDA	Lynga
P	Haffner 10       	07 28 36	-15 23 00	  	   3.0	 3700	 0.550	 9.300	  -1.04	  -0.36	   54	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2394         	07 28 36	+07 05 12	  	   8.0	  940	 0.130	 8.950	  -0.27	  -0.83	   82	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 559 13       	07 28 42	-20 49 30	  	  10.0	 2749	 0.250	 9.000	  -2.03	   0.35	  283	K14	       	   	      	  	3-3-m-* 	WEBDA	Lynga
 	Haffner 24       	07 28 56	-18 19 00	  	   2.0	 2936	 0.480	 7.900	  -2.52	   6.63	   60	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 22      	07 29 18	-29 11 00	d 	   3.0	 1609	 0.208	 9.030	  -2.52	   3.49	   39	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	NGC 2401         	07 29 24	-13 58 00	  	   2.0	 5888	 0.350	 7.800	   2.01	   4.43	   61	K14	       	   	      	  	        	WEBDA	Lynga
 	Mayer 3          	07 30 06	-18 32 00	  	   4.0	 2494	 1.000	 7.100	   0.55	   2.06	   38	K14	       	   	      	  	4-1-p-n 	WEBDA	Lynga
 	Dolidze 26       	07 30 06	+11 54 00	nf	  23.0	 2070	 0.375	 8.475	  -0.02	  -0.62	  408	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Waterloo 8       	07 30 12	-15 50 00	  	  12.0	     	      	      	  -3.21	   0.64	  212	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 23      	07 30 39	-23 23 36	  	  12.0	 3060	 0.540	 8.780	  -2.75	   2.68	  301	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Ivanov 7         	07 30 40	-15 18 00	  	   2.8	 2299	 0.370	 8.550	  -7.27	   4.74	   80	K14	       	   	      	  	        	WEBDA	Lynga
P	Bochum 5         	07 31 00	-16 56 00	  	  15.0	  872	 0.194	 7.545	  -2.67	   1.43	    2	K14	  16.00	  1	-0.171	 4	        	WEBDA	Lynga
 	FSR 1234         	07 31 10	-15 25 46	IR	   4.8	 1706	 0.437	 8.440	  -2.04	   0.98	   75	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 30       	07 31 18	-09 58 00	  	   3.0	 9120	 0.240	 9.400	  -1.43	  -1.94	   37	K14	  79.90	 17	-0.210	 9	4-2-p-n 	WEBDA	Lynga
P	Bochum 4         	07 31 37	-17 11 36	  	   5.0	 2291	 0.630	 7.000	  -2.40	   0.11	   31	K14	  16.00	  1	      	  	        	WEBDA	Lynga
 	FSR 1227         	07 31 53	-13 51 36	IR	   0.4	 4500	 0.416	 8.975	  -1.51	   4.26	   47	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 24      	07 31 53	-12 45 49	  	   5.0	 1983	 0.350	 7.780	   0.42	   0.97	   80	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
P	Bochum 6         	07 32 00	-19 25 00	  	  10.0	 3981	 0.700	 7.000	  -1.19	   2.37	  217	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 39          	07 33 00	-22 57 00	  	  36.0	 1500	 0.000	 8.710	  -2.22	   0.75	 1501	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2413         	07 33 07	-13 24 00	  	  24.0	  440	 0.040	 8.460	  -2.35	   2.13	 1166	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2414         	07 33 12	-15 27 12	  	   5.0	 3455	 0.508	 6.976	  -1.87	  -0.26	  153	K14	  67.14	  2	      	  	        	WEBDA	Lynga
 	ESO 429 02       	07 33 24	-28 11 15	p 	   3.0	 1670	 0.900	 8.600	  -1.52	  -0.56	   45	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	Ruprecht 40      	07 33 28	-20 31 00	nf	   2.0	 1836	 0.250	 8.265	  -2.87	   1.66	   22	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	ASCC 40          	07 33 36	-13 45 36	  	  21.6	  700	 0.110	 8.580	  -2.47	   1.72	  913	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 1243         	07 34 33	-15 58 22	IR	   0.8	 4336	 0.666	 6.700	  -1.02	   0.03	  133	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 61       	07 34 40	-19 47 23	  	   3.0	 1920	 0.550	 6.950	  -0.90	   1.94	   51	K14	       	   	      	  	        	WEBDA	Lynga
 	Haffner 11       	07 35 30	-27 41 59	  	   7.0	 5800	 0.500	 8.900	  -1.78	   2.28	   71	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
P	NGC 2421         	07 36 13	-20 36 42	  	   6.0	 2200	 0.420	 7.900	  -3.07	   2.41	  197	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 2422         	07 36 35	-14 29 00	  	  25.0	  490	 0.070	 7.861	  -7.15	   1.10	   23	K14	  25.92	 13	 0.110	11	        	WEBDA	Lynga
 	Ruprecht 25      	07 36 47	-23 23 00	d 	   2.0	 3585	 0.708	 8.895	  -3.68	   2.44	   47	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	Czernik 31       	07 36 59	-20 30 35	  	   6.0	 3200	 0.480	 8.200	  -2.15	   2.16	  102	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	ESO 429 05       	07 37 02	-32 11 54	  	   1.2	 3596	 0.810	 9.100	   1.70	   4.45	   11	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
P	NGC 2423         	07 37 06	-13 52 18	  	  12.0	  766	 0.097	 8.867	  -1.34	  -0.91	  417	K14	  18.47	  9	 0.140	 3	        	WEBDA	Lynga
 	Ruprecht 26      	07 37 11	-15 39 47	  	  11.0	 1820	 0.350	 8.600	  -1.51	   1.25	  330	K14	  15.00	  1	 0.313	 1	4-2-p-* 	WEBDA	Lynga
 	Alessi 18        	07 37 11	-26 23 18	  	   1.4	 6287	 0.645	 9.010	  -1.39	  -0.34	   24	K14	       	   	      	  	        	WEBDA	Lynga
P	Melotte 71       	07 37 30	-12 04 00	  	   7.0	 3154	 0.113	 8.371	  -5.07	   5.76	  265	K14	   0.55	  1	-0.320	 2	        	WEBDA	Lynga
 	Ruprecht 27      	07 37 41	-26 31 46	  	  11.0	 1490	 0.030	 8.950	  -1.70	   1.73	  293	K14	  10.90	  1	      	  	4-2-m-* 	WEBDA	Lynga
 	BH 4             	07 37 44	-36 04 00	  	   2.0	     	      	      	       	       	     	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
P	NGC 2425         	07 38 17	-14 52 42	  	   8.0	 3550	 0.210	 9.340	  -2.70	   1.00	  242	K14	 102.90	 10	-0.150	 4	        	WEBDA	Lynga
P	NGC 2420         	07 38 23	+21 34 24	  	   5.0	 2480	 0.040	 9.300	  -1.76	  -2.38	  145	K14	  73.57	 18	-0.380	20	        	WEBDA	Lynga
 	Melotte 72       	07 38 24	-10 41 00	  	   5.0	 3981	 0.200	 8.780	  -3.86	  -0.26	  124	K14	       	   	-0.380	  	3-1-m-* 	WEBDA	Lynga
 	Arp Madore 2     	07 38 46	-33 50 36	  	   2.0	13341	 0.570	 9.335	   0.52	   7.96	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 467    	07 39 18	-10 33 00	nf	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2428         	07 39 21	-16 31 42	n 	  12.0	 2100	 0.050	 8.680	  -3.05	   1.90	  412	K14	  47.35	  7	-0.145	 2	        	WEBDA	Lynga
 	Ruprecht 28      	07 39 36	-30 56 00	nf	   5.0	 4712	 0.416	 8.760	  -2.84	   2.31	   83	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	NGC 2430         	07 39 41	-16 17 48	n 	  15.0	  650	 0.170	 8.680	  -2.35	   1.35	  529	K14	  34.14	  6	 0.130	 2	        	WEBDA	Lynga
 	ESO 493 03       	07 39 45	-27 17 36	  	   7.0	 1400	 0.100	 8.600	  -0.72	   2.15	   96	K14	  20.77	  1	      	  	3-3-m-* 	WEBDA	Lynga
P	Bochum 15        	07 40 06	-33 32 00	  	   3.0	 2806	 0.576	 6.742	  -0.87	   3.09	   29	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 2408         	07 40 09	+71 39 18	p 	  28.0	 1133	 0.030	 9.480	   0.76	  -3.61	  189	K14	       	   	      	  	        	WEBDA	Lynga
 	Haffner 13       	07 40 30	-30 05 00	  	  14.0	  714	 0.050	      	  -2.52	   4.34	  416	K14	  68.00	  1	      	  	3-3-p-* 	WEBDA	Lynga
P	NGC 2439         	07 40 45	-31 41 36	  	   9.0	 1300	 0.370	 7.000	  -2.22	   3.13	    3	K14	  66.00	  2	      	  	        	WEBDA	Lynga
P	NGC 2432         	07 40 53	-19 04 36	  	   6.0	 1900	 0.230	 8.700	  -0.85	   1.42	  165	K14	  14.40	  1	      	  	        	WEBDA	Lynga
 	ESO 429 13       	07 41 08	-30 44 18	  	   4.0	 1606	 0.437	 9.020	  -3.34	   3.66	   56	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
